City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,kwang binh,17.4833,106.6,30.82,64,94,2.52,VN,1718323269
290,mercedes,-34.6515,-59.4307,23.25,64,100,3.47,AR,1718323270
291,awgu,6.0742,7.4786,27.14,97,100,2.23,NG,1718323270
292,ciudad melchor muzquiz,27.8833,-101.5167,38.16,22,0,3.19,MX,1718323270
293,pacific grove,36.6177,-121.9166,19.02,85,82,2.68,US,1718323266
294,malpe,13.35,74.7167,24.61,87,100,1.84,IN,1718323270
295,palenque,17.5167,-91.9667,27.83,80,89,3.16,MX,1718323151
296,chom thong,18.4174,98.6743,26.14,93,100,1.11,TH,1718323270
297,hualien city,23.9769,121.6044,28.19,85,92,1.0,TW,1718323270
298,taco pozo,-25.6167,-63.2833,29.62,45,94,6.27,AR,1718323271
299,tralee,52.2704,-9.7026,10.67,89,96,6.14,IE,1718323009
300,nyurba,63.2842,118.3319,20.3,63,20,2.22,RU,1718323271
301,laguna,38.421,-121.4238,34.06,39,0,5.14,US,1718322985
302,codrington,-38.2667,141.9667,9.72,68,100,5.22,AU,1718322972
303,juneau,58.3019,-134.4197,11.17,100,100,2.11,US,1718323271
304,santa ana,33.7456,-117.8678,31.38,55,0,5.66,US,1718323271
305,yeppoon,-23.1333,150.7333,18.47,62,1,1.75,AU,1718323271
306,xiongzhou,25.1167,114.3,26.89,94,100,1.06,CN,1718323271
307,midvagur,62.0511,-7.1939,9.46,66,75,5.14,FO,1718323271
308,alderetes,-26.8167,-65.1333,20.98,51,18,1.44,AR,1718323272
309,mont-laurier,46.5501,-75.4993,21.79,91,78,6.93,CA,1718323124
310,sena madureira,-9.0656,-68.6569,26.67,68,71,0.84,BR,1718323272
311,gizo,-8.103,156.8419,27.53,82,94,5.99,SB,1718323272
312,ta`u,-14.2336,-169.5144,27.89,82,98,8.16,AS,1718323272
313,stephenville,32.2207,-98.2023,33.07,46,0,2.57,US,1718323218
314,eusebio ayala,-25.4,-56.9667,27.93,27,19,5.63,PY,1718323272
315,sanctuary point,-35.1114,150.629,15.74,69,89,3.7,AU,1718323272
316,xilin hot,43.9667,116.0333,15.14,53,20,5.3,CN,1718323002
317,grand-lahou,5.1367,-5.0242,25.27,87,72,4.73,CI,1718323273
318,nakamura,32.9833,132.9333,26.67,60,66,1.66,JP,1718323273
319,namie,37.4833,141.0,27.62,69,1,2.01,JP,1718323273
320,fort bragg,35.139,-79.006,31.32,54,0,5.14,US,1718322999
321,santa catalina,9.3337,122.8637,28.27,81,72,3.75,PH,1718323273
322,dzhetygara,52.1908,61.2006,21.24,69,46,1.63,KZ,1718323273
323,inari,68.906,27.0288,8.11,85,56,1.55,FI,1718323273
324,riachao do jacuipe,-11.8069,-39.3856,22.7,83,99,3.53,BR,1718323039
325,alo,7.4178,6.7371,24.71,93,91,1.43,NG,1718323273
326,thames,-37.1333,175.5333,16.29,94,100,2.14,NZ,1718322993
327,saudarkrokur,65.7461,-19.6394,10.68,64,13,2.88,IS,1718323274
328,nieuw amsterdam,5.8833,-55.0833,28.01,83,20,1.03,SR,1718323274
329,arawa,-6.2132,155.5367,29.6,73,99,1.13,PG,1718323274
330,tuchow,49.8949,21.0541,12.15,98,91,1.78,PL,1718323274
331,trincomalee,8.5711,81.2335,27.75,79,100,8.86,LK,1718323274
332,uttar char fasson,22.2332,90.7132,29.56,86,100,6.01,BD,1718323274
333,sinabang,2.4803,96.3801,27.26,81,99,1.92,ID,1718322988
334,portland,45.5234,-122.6762,25.36,42,75,4.12,US,1718322439
335,bothaville,-27.3887,26.617,9.1,45,0,1.79,ZA,1718323275
336,afif,23.9065,42.9172,27.14,13,25,3.08,SA,1718323275
337,nizhnesortymskiy,62.4397,71.7603,19.12,74,54,3.16,RU,1718323275
338,rio san juan,19.6439,-70.0763,26.64,90,49,5.11,DO,1718323275
339,taro,-8.3862,115.28,23.0,91,69,0.64,ID,1718323275
340,port hedland,-20.3167,118.5667,19.03,45,22,3.6,AU,1718323275
341,sarangani,5.4033,125.4636,27.49,80,100,5.03,PH,1718323276
342,north bend,43.4065,-124.2243,18.47,72,75,8.23,US,1718323276
343,maneromango,-7.1988,38.7848,16.67,86,0,1.01,TZ,1718323276
344,butwal,27.7006,83.4484,28.92,44,0,2.36,NP,1718323276
345,buulobarde,3.8538,45.5674,23.38,86,83,6.44,SO,1718323276
346,imranli,39.8754,38.1136,15.04,73,0,1.72,TR,1718323277
347,bartica,6.4,-58.6167,28.18,99,83,1.25,GY,1718323277
348,anloga,5.7947,0.8973,26.67,84,85,5.86,GH,1718323277
349,tulun,54.5611,100.5792,18.18,63,43,0.73,RU,1718323277
350,vylkove,45.4021,29.586,19.77,88,99,2.74,UA,1718323277
351,goronyo,13.4423,5.6763,34.16,37,4,5.05,NG,1718323277
352,necochea,-38.5473,-58.7368,14.86,94,100,3.19,AR,1718323083
353,tshikapa,-6.4167,20.8,22.23,53,1,0.98,CD,1718323278
354,san juan,-31.5375,-68.5364,16.58,51,100,7.51,AR,1718323171
355,ellsworth,44.5434,-68.4195,20.16,83,0,3.09,US,1718323155
356,awjilah,29.1081,21.2869,34.08,11,0,4.24,LY,1718323278
357,sandpoint,48.2766,-116.5533,27.7,29,0,1.34,US,1718323278
358,nemuro,43.3236,145.575,9.18,96,100,5.33,JP,1718323268
359,vadso,70.0744,29.7487,4.49,87,100,4.12,NO,1718323278
360,fort mcmurray,56.7268,-111.381,20.77,63,100,7.2,CA,1718323279
361,yangju,37.8331,127.0617,24.1,41,8,0.78,KR,1718323279
362,uzgen,40.7699,73.3007,20.16,42,4,2.91,KG,1718323279
